7|3.0|Toy Story (1995)
9|4.0|Toy Story (1995)
13|5.0|Toy Story (1995)
15|2.0|Toy Story (1995)
19|3.0|Toy Story (1995)
20|3.5|Toy Story (1995)
23|3.0|Toy Story (1995)
26|5.0|Toy Story (1995)
30|4.0|Toy Story (1995)
37|4.0|Toy Story (1995)
43|4.0|Toy Story (1995)
44|4.0|Toy Story (1995)
47|5.0|Toy Story (1995)
48|4.0|Toy Story (1995)
55|3.0|Toy Story (1995)
56|4.0|Toy Story (1995)
63|5.0|Toy Story (1995)
67|3.0|Toy Story (1995)
68|4.0|Toy Story (1995)
69|5.0|Toy Story (1995)
70|5.0|Toy Story (1995)
72|3.5|Toy Story (1995)
73|5.0|Toy Story (1995)
75|3.0|Toy Story (1995)
77|4.0|Toy Story (1995)
79|2.0|Toy Story (1995)
84|3.5|Toy Story (1995)
86|3.0|Toy Story (1995)
87|3.0|Toy Story (1995)
89|5.0|Toy Story (1995)
90|4.0|Toy Story (1995)
91|5.0|Toy Story (1995)
92|5.0|Toy Story (1995)
93|4.0|Toy Story (1995)
94|4.0|Toy Story (1995)
97|1.0|Toy Story (1995)
99|4.0|Toy Story (1995)
100|4.0|Toy Story (1995)
106|4.0|Toy Story (1995)
112|5.0|Toy Story (1995)
119|2.0|Toy Story (1995)
120|2.5|Toy Story (1995)
121|4.0|Toy Story (1995)
122|3.0|Toy Story (1995)
124|4.5|Toy Story (1995)
125|4.0|Toy Story (1995)
126|5.0|Toy Story (1995)
128|5.0|Toy Story (1995)
130|3.0|Toy Story (1995)
134|3.5|Toy Story (1995)
136|4.5|Toy Story (1995)
138|2.0|Toy Story (1995)
142|4.0|Toy Story (1995)
146|5.0|Toy Story (1995)
149|3.0|Toy Story (1995)
150|3.0|Toy Story (1995)
152|3.5|Toy Story (1995)
153|5.0|Toy Story (1995)
154|4.0|Toy Story (1995)
157|3.5|Toy Story (1995)
163|3.0|Toy Story (1995)
164|3.5|Toy Story (1995)
165|2.5|Toy Story (1995)
168|5.0|Toy Story (1995)
169|4.0|Toy Story (1995)
173|4.0|Toy Story (1995)
175|4.0|Toy Story (1995)
176|2.0|Toy Story (1995)
177|5.0|Toy Story (1995)
178|4.0|Toy Story (1995)
179|5.0|Toy Story (1995)
184|5.0|Toy Story (1995)
185|5.0|Toy Story (1995)
187|4.0|Toy Story (1995)
193|4.0|Toy Story (1995)
200|3.0|Toy Story (1995)
201|5.0|Toy Story (1995)
205|4.5|Toy Story (1995)
212|3.0|Toy Story (1995)
213|3.0|Toy Story (1995)
215|3.0|Toy Story (1995)
219|5.0|Toy Story (1995)
220|2.0|Toy Story (1995)
224|4.0|Toy Story (1995)
232|3.0|Toy Story (1995)
237|3.0|Toy Story (1995)
240|4.5|Toy Story (1995)
241|3.0|Toy Story (1995)
242|5.0|Toy Story (1995)
247|4.0|Toy Story (1995)
252|3.0|Toy Story (1995)
253|4.5|Toy Story (1995)
261|1.5|Toy Story (1995)
262|2.5|Toy Story (1995)
268|5.0|Toy Story (1995)
272|4.0|Toy Story (1995)
273|4.5|Toy Story (1995)
275|5.0|Toy Story (1995)
282|4.0|Toy Story (1995)
283|3.0|Toy Story (1995)
284|3.0|Toy Story (1995)
285|4.0|Toy Story (1995)
287|5.0|Toy Story (1995)
292|4.0|Toy Story (1995)
293|4.0|Toy Story (1995)
294|4.0|Toy Story (1995)
306|3.0|Toy Story (1995)
311|3.0|Toy Story (1995)
312|5.0|Toy Story (1995)
313|4.0|Toy Story (1995)
314|2.0|Toy Story (1995)
318|1.0|Toy Story (1995)
321|3.0|Toy Story (1995)
324|4.0|Toy Story (1995)
328|4.0|Toy Story (1995)
329|5.0|Toy Story (1995)
333|4.0|Toy Story (1995)
334|5.0|Toy Story (1995)
336|2.0|Toy Story (1995)
343|5.0|Toy Story (1995)
344|4.0|Toy Story (1995)
345|4.5|Toy Story (1995)
350|4.0|Toy Story (1995)
353|3.5|Toy Story (1995)
354|5.0|Toy Story (1995)
355|3.0|Toy Story (1995)
357|5.0|Toy Story (1995)
358|5.0|Toy Story (1995)
361|3.0|Toy Story (1995)
363|5.0|Toy Story (1995)
379|3.5|Toy Story (1995)
380|4.0|Toy Story (1995)
382|3.5|Toy Story (1995)
383|5.0|Toy Story (1995)
390|4.0|Toy Story (1995)
396|5.0|Toy Story (1995)
401|5.0|Toy Story (1995)
402|2.0|Toy Story (1995)
403|4.0|Toy Story (1995)
406|3.5|Toy Story (1995)
407|4.0|Toy Story (1995)
408|2.0|Toy Story (1995)
409|5.0|Toy Story (1995)
410|5.0|Toy Story (1995)
412|4.0|Toy Story (1995)
417|3.5|Toy Story (1995)
418|3.5|Toy Story (1995)
419|4.5|Toy Story (1995)
